open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1700697600000,37413.50,37548,37392.10,37515.70,3784.522,1700698499999,141835559.88340,36219,2263.145,84829808.88770,0
1700698500000,37515.60,37515.60,37391.10,37399.10,2604.402,1700699399999,97486459.67330,26141,1010.654,37825623.36480,0
1700699400000,37399.10,37407.60,37316.30,37339.60,2137.442,1700700299999,79844244.59455,25192,767.048,28651651.70180,0
1700700300000,37339.20,37384.90,37310,37319.40,1739.634,1700701199999,64951628.28160,18203,905.074,33794534.54900,0
1700701200000,37319.40,37389,37311.40,37378.10,1078.209,1700702099999,40283406.63310,16088,622.506,23257498.60410,0
1700702100000,37378,37494.80,37369.90,37483.50,2175.414,1700702999999,81435759.18534,23684,1376.634,51540109.24824,0
1700703000000,37483.40,37487.40,37407.40,37475,1132.237,1700703899999,42398868.21170,15847,461.258,17273807.13490,0
1700703900000,37474.90,37489.20,37414,37414,903.642,1700704799999,33836282.35870,13539,302.778,11337968.92610,0
1700704800000,37414.10,37450,37340,37340.10,1541.481,1700705699999,57639885.37745,17639,509.705,19063076.97660,0
1700705700000,37340,37402.80,37320.10,37352.40,1611.201,1700706599999,60194863.62600,19957,834.580,31179838.71860,0
1700706600000,37352.20,37385.70,37334.80,37350.10,786.797,1700707499999,29397191.93140,12015,334.990,12516183.94200,0
1700707500000,37350,37386.60,37350,37350.10,892.595,1700708399999,33351310.34910,10595,440.157,16445264.09250,0
1700708400000,37350,37356.30,37263,37286.10,2172.775,1700709299999,81053007.94890,22772,755.734,28187061.34920,0
1700709300000,37286,37389,37277.70,37371.30,1464.374,1700710199999,54665330.77900,17290,935.268,34914671.83370,0
1700710200000,37371.40,37391.70,37316.50,37363.20,1016.827,1700711099999,37988307.91900,15298,454.605,16984563.29760,0
1700711100000,37363.30,37365,37310.20,37311,472.964,1700711999999,17657559.80090,9030,178.546,6665598.21720,0
1700712000000,37311,37328.70,37280,37292.50,1127.166,1700712899999,42047222.46210,12380,525.477,19602642.63030,0
1700712900000,37292.60,37329.20,37287,37313.20,570.026,1700713799999,21270722.07350,8170,342.121,12765976.91380,0
1700713800000,37313.10,37399.40,37308.20,37386.10,1309.851,1700714699999,48942723.61560,13085,847.751,31674704.37670,0
1700714700000,37386.10,37417.60,37350.10,37350.70,1636.470,1700715599999,61187499.87690,19046,779.889,29162006.33550,0
1700715600000,37350.70,37385.80,37350.70,37372.60,756.683,1700716499999,28272363.25160,10283,431.209,16111356.12320,0
1700716500000,37372.60,37410,37355.40,37410,786.225,1700717399999,29391201.36860,11349,491.001,18355264.99470,0
1700717400000,37410,37425,37321.10,37337.60,947.931,1700718299999,35428012.02200,12239,377.432,14106411.44800,0
1700718300000,37337.60,37346,37315.60,37331.60,611.136,1700719199999,22814874.32320,9713,275.229,10274760.32450,0
1700719200000,37331.60,37349.50,37290.20,37294.30,1078.882,1700720099999,40255651.71090,13607,478.294,17845821.27290,0
1700720100000,37295.30,37331.20,37277.10,37322.80,986.152,1700720999999,36777441.59620,12702,465.316,17354845.95920,0
1700721000000,37322.90,37322.90,37275.60,37283.20,962.559,1700721899999,35894837.64760,13161,438.549,16353128.74180,0
1700721900000,37283.20,37309.30,37275,37279.40,821.408,1700722799999,30630832.57220,9497,326.813,12187502.42050,0
1700722800000,37279.40,37379,37279.30,37366.40,1963.397,1700723699999,73321105.75980,19593,1396.503,52148218.98500,0
1700723700000,37366.50,37373.80,37341.80,37349.90,779.515,1700724599999,29122175.71530,12354,351.381,13127432.62990,0
1700724600000,37349.90,37378,37331.40,37334.80,757.404,1700725499999,28295892.81780,12652,413.625,15453218.79530,0
1700725500000,37334.90,37384,37331,37378.50,741.492,1700726399999,27696876.61650,13303,416.380,15553464.41970,0
1700726400000,37378.50,37446,37364.60,37393,1682.115,1700727299999,62915485.13080,24044,887.896,33212075.58680,0
1700727300000,37393.10,37473.30,37387.90,37440.10,1656.568,1700728199999,62021863.88534,21683,974.715,36494289.28584,0
1700728200000,37440.10,37527,37440,37491,2811.217,1700729099999,105386921.33650,33542,1661.127,62274248.60030,0
1700729100000,37491,37519.70,37440,37507.10,1296.729,1700729999999,48599060.02130,20142,641.550,24045793.11340,0
1700730000000,37507.20,37527.10,37467.40,37493.50,1221.248,1700730899999,45795065.76810,21190,544.880,20432617.57590,0
1700730900000,37493.50,37493.50,37450.30,37467.40,860.270,1700731799999,32233020.12420,17138,317.266,11887708.00980,0
1700731800000,37467.40,37552.90,37455.70,37544,1226.441,1700732699999,45998019.75110,17312,832.070,31208415.75160,0
1700732700000,37543.90,37650,37513.90,37643.70,4137.514,1700733599999,155543986.56704,49319,2382.580,89569131.56694,0
1700733600000,37643.70,37649.70,37537.60,37539.40,2290.012,1700734499999,86069209.13080,26700,807.505,30346722.16730,0
1700734500000,37539.30,37550,37459.30,37488.50,2546.995,1700735399999,95507545.25700,28993,1078.573,40443085.73330,0
1700735400000,37488.60,37525.70,37438,37503.10,1619.186,1700736299999,60692016.23714,20917,692.165,25946319.23580,0
1700736300000,37503.10,37510.30,37455.30,37470,932.013,1700737199999,34932107.70850,15321,413.718,15506775.44360,0
1700737200000,37469.90,37471.20,37362.30,37388,3333.783,1700738099999,124738547.48352,36750,1363.878,51036539.75660,0
1700738100000,37388.10,37396.10,37135.80,37274.50,10900.926,1700738999999,406086552.99258,95517,4847.689,180589605.85768,0
1700739000000,37274.50,37364.70,37270,37332.50,2787.880,1700739899999,104067481.76865,34576,1579.883,58971644.10385,0
1700739900000,37332.40,37379.90,37263.20,37378.20,2376.922,1700740799999,88708003.57800,28140,1301.226,48570632.76450,0
1700740800000,37378.10,37450.50,37361,37450.50,2778.657,1700741699999,103944614.87610,32903,1801.166,67380552.65730,0
1700741700000,37450.50,37544.90,37408,37498.50,3517.089,1700742599999,131851241.99124,37669,2209.275,82827847.60584,0
1700742600000,37498.40,37498.50,37328.20,37375,3244.960,1700743499999,121344167.41605,37175,1210.824,45274848.68840,0
1700743500000,37375.10,37389.90,37260,37309.20,3444.657,1700744399999,128533682.34910,39258,1441.612,53786000.30090,0
1700744400000,37309.10,37400,37283.30,37386,2836.010,1700745299999,105911164.22050,28923,1843.022,68830465.07170,0
1700745300000,37386,37403.80,37305.90,37325.60,1192.488,1700746199999,44542689.79820,17897,589.547,22023099.89070,0
1700746200000,37325.70,37371.80,37293.90,37296.30,891.689,1700747099999,33283307.86500,15904,386.555,14430613.15450,0
1700747100000,37296.30,37338,37222.30,37243,3258.136,1700747999999,121396326.93632,36343,1403.477,52294662.77490,0
1700748000000,37243,37312.20,37230.40,37263.60,1620.844,1700748899999,60425282.00540,22221,931.735,34737422.93150,0
1700748900000,37263.60,37307.60,37164.70,37179.30,3638.118,1700749799999,135354786.85970,39815,1579.796,58778362.41390,0
1700749800000,37179.40,37277.50,37120,37229.90,3405.192,1700750699999,126674902.93394,40459,1689.046,62845470.91204,0
1700750700000,37229.90,37265,37126.20,37207.20,2460.301,1700751599999,91487848.74230,28995,1267.576,47142255.12440,0
1700751600000,37207.20,37256,37151.20,37153.60,1641.741,1700752499999,61084864.13694,21436,764.723,28456525.41654,0
1700752500000,37153.60,37216.30,37014.70,37063.80,7087.838,1700753399999,262841192.38168,68719,3314.633,122921772.31230,0
1700753400000,37063.70,37127.20,36924.70,37050.40,7250.438,1700754299999,268510796.49549,74572,3450.038,127795367.13664,0
1700754300000,37050.50,37055,36856.30,36954.10,6528.131,1700755199999,241236252.35637,66614,3031.584,112044364.50790,0
1700755200000,36954.10,37138.10,36921.60,37133.90,5310.560,1700756099999,196779340.20026,49281,3142.162,116431818.45316,0
1700756100000,37133.90,37177,37086.40,37168.30,2936.866,1700756999999,109070019.60050,33832,1613.391,59922884.04990,0
1700757000000,37168.30,37170.90,37082.30,37095.10,2047.822,1700757899999,76015377.88630,23857,826.347,30675177.18100,0
1700757900000,37095.10,37139.10,37067,37085.80,1245.817,1700758799999,46223922.96960,17679,568.243,21086364.95680,0
1700758800000,37085.90,37246.70,37082.10,37212.60,2832.051,1700759699999,105302500.06088,32448,1803.289,67051861.81488,0
1700759700000,37212.50,37242.50,37184,37230,2013.790,1700760599999,74949769.08320,22185,1015.133,37781899.72860,0
1700760600000,37230,37230,37135.40,37168.60,1536.646,1700761499999,57124015.27860,18131,608.365,22613979.76320,0
1700761500000,37168.60,37222,37155,37173.60,1189.651,1700762399999,44239729.25530,16856,676.627,25162300.44310,0
1700762400000,37173.60,37295.50,37166.90,37257.50,2423.916,1700763299999,90295265.72056,29629,1371.974,51108059.41476,0
1700763300000,37257.50,37299.40,37245,37259.90,1461.501,1700764199999,54477400.97730,19739,715.001,26652444.02530,0
1700764200000,37259.90,37290.10,37230.40,37237.10,1180.707,1700765099999,43993253.32790,15917,502.353,18720705.91370,0
1700765100000,37237.10,37289.80,37237.10,37257,660.136,1700765999999,24599081.87120,11675,356.869,13298783.52800,0
1700766000000,37257,37276.90,37180.50,37244.50,1662.583,1700766899999,61876190.64810,18242,701.415,26103207.46860,0
1700766900000,37244.50,37297.80,37224.50,37235.30,1310.433,1700767799999,48838090.81730,16104,626.624,23353533.65170,0
1700767800000,37235.30,37264.40,37220.10,37240.90,694.832,1700768699999,25875448.61210,11940,386.500,14393262.82090,0
1700768700000,37241,37378,37240.90,37282.30,2341.771,1700769599999,87380724.10310,24528,1408.417,52559080.40950,0
1700769600000,37282.40,37368,37282.30,37306.60,1426.111,1700770499999,53238260.65500,17767,765.990,28596563.83090,0
1700770500000,37306.60,37391.50,37306.60,37366.40,1507.417,1700771399999,56316286.58350,19223,758.878,28350403.96100,0
1700771400000,37366.40,37372.60,37271.40,37293.90,1427.035,1700772299999,53243749.21920,16081,420.197,15678483.81860,0
1700772300000,37294,37307.40,37271.10,37282.90,649.657,1700773199999,24226684.83800,11808,298.704,11139113.07940,0
1700773200000,37282.90,37378.20,37280.90,37356.70,1085.756,1700774099999,40540225.23930,16880,603.820,22543197.28350,0
1700774100000,37356.70,37369.30,37301.60,37319,952.706,1700774999999,35560953.56480,13748,504.880,18846113.37400,0
1700775000000,37319,37326.80,37250.10,37263.60,1110.430,1700775899999,41395314.01804,14647,431.958,16102360.95350,0
1700775900000,37263.60,37288.90,37244.90,37250.90,894.502,1700776799999,33330289.52800,12986,399.460,14885234.65390,0
1700776800000,37250.90,37273.70,37242.70,37250,681.630,1700777699999,25394391.83840,10564,360.093,13415516.20590,0
1700777700000,37250,37258,37209,37238.40,938.717,1700778599999,34951251.45880,12728,387.793,14438718.06410,0
1700778600000,37238.40,37262.20,37209.10,37240.50,816.821,1700779499999,30417621.15000,10985,351.754,13100526.86790,0
1700779500000,37240.50,37314.90,37228.50,37311.10,909.822,1700780399999,33908062.54710,11029,656.769,24478055.93950,0
